# pattern	name	expected  — generated from CPython fnmatch; regenerate with scripts/gen-fnmatch-parity.py
.github/workflows/*.yml	.github/workflows/ci.yml	true
.github/workflows/*.yml	package.json	false
.github/workflows/*.yml	sub/package.json	false
.github/workflows/*.yml	home/id_rsa	false
.github/workflows/*.yml	src/legacy/old.go	false
.github/workflows/*.yml	src/legacy/a/b.go	false
.github/workflows/*.yml	abd	false
.github/workflows/*.yml	acd	false
.github/workflows/*.yml	axd	false
.github/workflows/*.yml	xyz	false
.github/workflows/*.yml	x/z	false
.github/workflows/*.yml	]a	false
.github/workflows/*.yml	uv.lock	false
.github/workflows/*.yml	p/secrets/k	false
.github/workflows/*.yml	secrets/k	false
.github/workflows/*.yml		false
package.json	src/foo.py	false
package.json	foo.py	false
package.json	a/b/.env	false
package.json	.env	false
package.json	.env.local	false
package.json	src/a/b/c.py	false
package.json	x/credentials/y	false
package.json	credentials/y	false
package.json	x/credentials/y/z	false
package.json	a.pem	false
package.json	deep/a.pem	false
package.json	.claude/settings.json	false
package.json	.claude/a/b	false
package.json	.git/config	false
package.json	.devcouncil/state.sqlite	false
package.json	.github/workflows/ci.yml	false
package.json	package.json	true
package.json	sub/package.json	false
package.json	home/id_rsa	false
package.json	src/legacy/old.go	false
package.json	src/legacy/a/b.go	false
package.json	abd	false
package.json	acd	false
package.json	axd	false
package.json	xyz	false
package.json	x/z	false
package.json	]a	false
package.json	uv.lock	false
package.json	p/secrets/k	false
package.json	secrets/k	false
package.json		false
**/id_rsa	src/foo.py	false
**/id_rsa	foo.py	false
**/id_rsa	a/b/.env	false
**/id_rsa	.env	false
**/id_rsa	.env.local	false
**/id_rsa	src/a/b/c.py	false
**/id_rsa	x/credentials/y	false
**/id_rsa	credentials/y	false
**/id_rsa	x/credentials/y/z	false
**/id_rsa	a.pem	false
**/id_rsa	deep/a.pem	false
**/id_rsa	.claude/settings.json	false
**/id_rsa	.claude/a/b	false
**/id_rsa	.git/config	false
**/id_rsa	.devcouncil/state.sqlite	false
**/id_rsa	.github/workflows/ci.yml	false
**/id_rsa	package.json	false
**/id_rsa	sub/package.json	false
**/id_rsa	home/id_rsa	true
**/id_rsa	src/legacy/old.go	false
**/id_rsa	src/legacy/a/b.go	false
**/id_rsa	abd	false
**/id_rsa	acd	false
**/id_rsa	axd	false
**/id_rsa	xyz	false
**/id_rsa	x/z	false
**/id_rsa	]a	false
**/id_rsa	uv.lock	false
**/id_rsa	p/secrets/k	false
**/id_rsa	secrets/k	false
**/id_rsa		false
src/legacy/**	src/foo.py	false
src/legacy/**	foo.py	false
src/legacy/**	a/b/.env	false
src/legacy/**	.env	false
src/legacy/**	.env.local	false
src/legacy/**	src/a/b/c.py	false
src/legacy/**	x/credentials/y	false
src/legacy/**	credentials/y	false
src/legacy/**	x/credentials/y/z	false
src/legacy/**	a.pem	false
src/legacy/**	deep/a.pem	false
src/legacy/**	.claude/settings.json	false
src/legacy/**	.claude/a/b	false
src/legacy/**	.git/config	false
src/legacy/**	.devcouncil/state.sqlite	false
src/legacy/**	.github/workflows/ci.yml	false
src/legacy/**	package.json	false
src/legacy/**	sub/package.json	false
src/legacy/**	home/id_rsa	false
src/legacy/**	src/legacy/old.go	true
src/legacy/**	src/legacy/a/b.go	true
src/legacy/**	abd	false
src/legacy/**	acd	false
src/legacy/**	axd	false
src/legacy/**	xyz	false
src/legacy/**	x/z	false
src/legacy/**	]a	false
src/legacy/**	uv.lock	false
src/legacy/**	p/secrets/k	false
src/legacy/**	secrets/k	false
src/legacy/**		false
a[bc]d	src/foo.py	false
a[bc]d	foo.py	false
a[bc]d	a/b/.env	false
a[bc]d	.env	false
a[bc]d	.env.local	false
a[bc]d	src/a/b/c.py	false
a[bc]d	x/credentials/y	false
a[bc]d	credentials/y	false
a[bc]d	x/credentials/y/z	false
a[bc]d	a.pem	false
a[bc]d	deep/a.pem	false
a[bc]d	.claude/settings.json	false
a[bc]d	.claude/a/b	false
a[bc]d	.git/config	false
a[bc]d	.devcouncil/state.sqlite	false
a[bc]d	.github/workflows/ci.yml	false
a[bc]d	package.json	false
a[bc]d	sub/package.json	false
a[bc]d	home/id_rsa	false
a[bc]d	src/legacy/old.go	false
a[bc]d	src/legacy/a/b.go	false
a[bc]d	abd	true
a[bc]d	acd	true
a[bc]d	axd	false
a[bc]d	xyz	false
a[bc]d	x/z	false
a[bc]d	]a	false
a[bc]d	uv.lock	false
a[bc]d	p/secrets/k	false
a[bc]d	secrets/k	false
a[bc]d		false
a[!bc]d	src/foo.py	false
a[!bc]d	foo.py	false
a[!bc]d	a/b/.env	false
a[!bc]d	.env	false
a[!bc]d	.env.local	false
a[!bc]d	src/a/b/c.py	false
a[!bc]d	x/credentials/y	false
a[!bc]d	credentials/y	false
a[!bc]d	x/credentials/y/z	false
a[!bc]d	a.pem	false
a[!bc]d	deep/a.pem	false
a[!bc]d	.claude/settings.json	false
a[!bc]d	.claude/a/b	false
a[!bc]d	.git/config	false
a[!bc]d	.devcouncil/state.sqlite	false
a[!bc]d	.github/workflows/ci.yml	false
a[!bc]d	package.json	false
a[!bc]d	sub/package.json	false
a[!bc]d	home/id_rsa	false
a[!bc]d	src/legacy/old.go	false
a[!bc]d	src/legacy/a/b.go	false
a[!bc]d	abd	false
a[!bc]d	acd	false
a[!bc]d	axd	true
a[!bc]d	xyz	false
a[!bc]d	x/z	false
a[!bc]d	]a	false
a[!bc]d	uv.lock	false
a[!bc]d	p/secrets/k	false
a[!bc]d	secrets/k	false
a[!bc]d		false
x?z	src/foo.py	false
x?z	foo.py	false
x?z	a/b/.env	false
x?z	.env	false
x?z	.env.local	false
x?z	src/a/b/c.py	false
x?z	x/credentials/y	false
x?z	credentials/y	false
x?z	x/credentials/y/z	false
x?z	a.pem	false
x?z	deep/a.pem	false
x?z	.claude/settings.json	false
x?z	.claude/a/b	false
x?z	.git/config	false
x?z	.devcouncil/state.sqlite	false
x?z	.github/workflows/ci.yml	false
x?z	package.json	false
x?z	sub/package.json	false
x?z	home/id_rsa	false
x?z	src/legacy/old.go	false
x?z	src/legacy/a/b.go	false
x?z	abd	false
x?z	acd	false
x?z	axd	false
x?z	xyz	true
x?z	x/z	true
x?z	]a	false
x?z	uv.lock	false
x?z	p/secrets/k	false
x?z	secrets/k	false
x?z		false
[]]a	src/foo.py	false
[]]a	foo.py	false
[]]a	a/b/.env	false
[]]a	.env	false
[]]a	.env.local	false
[]]a	src/a/b/c.py	false
[]]a	x/credentials/y	false
[]]a	credentials/y	false
[]]a	x/credentials/y/z	false
[]]a	a.pem	false
[]]a	deep/a.pem	false
[]]a	.claude/settings.json	false
[]]a	.claude/a/b	false
[]]a	.git/config	false
[]]a	.devcouncil/state.sqlite	false
[]]a	.github/workflows/ci.yml	false
[]]a	package.json	false
[]]a	sub/package.json	false
[]]a	home/id_rsa	false
[]]a	src/legacy/old.go	false
[]]a	src/legacy/a/b.go	false
[]]a	abd	false
[]]a	acd	false
[]]a	axd	false
[]]a	xyz	false
[]]a	x/z	false
[]]a	]a	true
[]]a	uv.lock	false
[]]a	p/secrets/k	false
[]]a	secrets/k	false
[]]a		false
**/secrets/**	src/foo.py	false
**/secrets/**	foo.py	false
**/secrets/**	a/b/.env	false
**/secrets/**	.env	false
**/secrets/**	.env.local	false
**/secrets/**	src/a/b/c.py	false
**/secrets/**	x/credentials/y	false
**/secrets/**	credentials/y	false
**/secrets/**	x/credentials/y/z	false
**/secrets/**	a.pem	false
**/secrets/**	deep/a.pem	false
**/secrets/**	.claude/settings.json	false
**/secrets/**	.claude/a/b	false
**/secrets/**	.git/config	false
**/secrets/**	.devcouncil/state.sqlite	false
**/secrets/**	.github/workflows/ci.yml	false
**/secrets/**	package.json	false
**/secrets/**	sub/package.json	false
**/secrets/**	home/id_rsa	false
**/secrets/**	src/legacy/old.go	false
**/secrets/**	src/legacy/a/b.go	false
**/secrets/**	abd	false
**/secrets/**	acd	false
**/secrets/**	axd	false
**/secrets/**	xyz	false
**/secrets/**	x/z	false
**/secrets/**	]a	false
**/secrets/**	uv.lock	false
**/secrets/**	p/secrets/k	true
**/secrets/**	secrets/k	false
**/secrets/**		false
uv.lock	src/foo.py	false
uv.lock	foo.py	false
uv.lock	a/b/.env	false
uv.lock	.env	false
uv.lock	.env.local	false
uv.lock	src/a/b/c.py	false
uv.lock	x/credentials/y	false
uv.lock	credentials/y	false
uv.lock	x/credentials/y/z	false
uv.lock	a.pem	false
uv.lock	deep/a.pem	false
uv.lock	.claude/settings.json	false
uv.lock	.claude/a/b	false
uv.lock	.git/config	false
uv.lock	.devcouncil/state.sqlite	false
uv.lock	.github/workflows/ci.yml	false
uv.lock	package.json	false
uv.lock	sub/package.json	false
uv.lock	home/id_rsa	false
uv.lock	src/legacy/old.go	false
uv.lock	src/legacy/a/b.go	false
uv.lock	abd	false
uv.lock	acd	false
uv.lock	axd	false
uv.lock	xyz	false
uv.lock	x/z	false
uv.lock	]a	false
uv.lock	uv.lock	true
uv.lock	p/secrets/k	false
uv.lock	secrets/k	false
uv.lock		false
*	src/foo.py	true
*	foo.py	true
*	a/b/.env	true
*	.env	true
*	.env.local	true
*	src/a/b/c.py	true
*	x/credentials/y	true
*	credentials/y	true
*	x/credentials/y/z	true
*	a.pem	true
*	deep/a.pem	true
*	.claude/settings.json	true
*	.claude/a/b	true
*	.git/config	true
*	.devcouncil/state.sqlite	true
*	.github/workflows/ci.yml	true
*	package.json	true
*	sub/package.json	true
*	home/id_rsa	true
*	src/legacy/old.go	true
*	src/legacy/a/b.go	true
*	abd	true
*	acd	true
*	axd	true
*	xyz	true
*	x/z	true
*	]a	true
*	uv.lock	true
*	p/secrets/k	true
*	secrets/k	true
*		true
